bank_name,address,city,state,phone,latitude,longitude
Medical College Hospital Blood Bank,673008,Kozhikode,Kerala,04952 351134,11.271763,75.836468
K M C T Hospital Blood Bank,673572,Kozhikode,Kerala,"0495 2293500, 0495 2720466",11.325893,75.971356
The Uttara Kannada Blood Bank and Health Services Society,"London Mahal, Gujjar Galli, 581343",Kumta,Karnataka,08382 221851,14.4292776,74.4024452
Orchid Institute of Health Care and Research Private Limited Blood Bank,"PB NO:212, Down Hill
P.O.Malappuram, 676519",Malappuram,Kerala,"0483-2734279, 2736369, 2736569",11.051502,76.06974
District Hospital Blood Bank,"District Hospital
Mananthavady
WAyanad, 670645",Manathavady,Kerala,0493 5245026,11.800634,76.001923
Community Health Centre (T.H.Q) - General Hospital Blood Bank,671121,Kasaragod,Kerala,0499 4225580,12.503397,74.991726
Jeeva Raksha Blood Bank,"Vokkaligara Hostel Building, Ist Floor, B.M.Road, 573201",Hassan,Karnataka,08172 26204,13.0032624,76.0975902
M/s. Kanachur Hospital & Research Centre Blood Bank,"Ground Floor, C Block, University Road, Deralakatte, 575018",Mangalore,Karnataka,08242 202982,12.803421,74.898097
General Hospital Blood Bank Puttur,"NA, 574102",Puttur,Karnataka,08251 238258,12.758344,75.200313
Jeevadhara Blood Bank,"17, Meena Nursing Home, Madhava Nagar, 577301",Bhadravathi,Karnataka,08182 263770,13.844738,75.710033
City Hospital Research and Diagnostic Centre Blood Bank,"Pound Garden, Kadri, 575003",Mangalore,Karnataka,0824 221790,12.87963,74.853044
Malabar Cancer Centre Society Blood Bank,"Moozhikkara Post,, 670103",Thalassery,Kerala,"0490 2355881, 0490 2355981",11.749387,75.523483
Amala Cancer Hospital and Research Centre Blood Bank,680555,Amalanagar,Kerala,"0487 2304000, 0487 2304100",10.561896,76.168745
Kasturba Hospital Blood Bank,"Site.No.55/2, Shivalli Village, Manipal Udupi, 576104",Manipal,Karnataka,0820 2922331,13.353846,74.789057
Fathima Hospital Blood Bank,"Bank Road, 673004",Kozhikode,Kerala,"0495 2766630, 0495 2766640",11.261961,75.780087
Badagara sahakarana Asupathri Limited Blood Bank,"Edapally-Panvel Highway, Narayana Nagar, 673101",Vadakara,Kerala,0496 2520600,11.589708,75.595256
Holy Cross Hospital Blood Bank,"Housing Board Colony, K. M. Road, Jyothi Nagar, 577101",Chikkamagaluru,Karnataka,08262 220077,13.338634,75.80355
Pandit General Hospital Blood Bank,"Sirsi, 581401",Karwar,Karnataka,0838 2223066,14.32773,74.491531
Santhi Hospital Blood Bank,"Omaserry, 673582",Omassery,Kerala,0495 2282550,11.362673,75.964611
IQRAA Hospital Blood Bank,673009,Malaparamba,Kerala,0495 2379100,11.286398,75.797483
Medical diagnostic Centre Blood Bank,671315,Kanhangad,Kerala,0467 2209712,12.312192,75.093469
Saint Joseph Hospital Blood Bank,"Agastianmoozhi, 673602",Mukkom,Kerala,"0495 2298536, 0495 2297492, 0495 2295024",11.3311361,75.9836769
Srinivasa Institute of Medical Sciences and Research Centre Blood Bank,"Mukka,Srinivas Nagar,Surathkal, 575021",Mangalore,Karnataka,0824 2474883,13.021405,74.792037
Nirmala Hospital Blood Bank,673012,Marrikunnu,Kerala,0495 2730211,11.291596,75.823253
Almas Hospital Blood Bank - Chankuvatty,676503,Kottakkal,Kerala,"0483 2748536,  0483 2748539",11.00015,75.991133
K. V. G Medical College Hospital Blood Bank,"Kurinji Bag, 574327",Sullia,Karnataka,0824 230326,12.55332,75.384249
Indian Red Cross Society Blood Bank Mangalore,"Lady Goshen Hospital, Behind Central Market, 575001",Mangalore,Karnataka,0824 2423755,12.864857,74.83818
KMC University Medical Centre Blood Bank,"Dr. B. R. Ambedkar Circle, Jyothi, 575001",Mangalore,Karnataka,0824 2444590 (Extn. 5059),12.870434,74.844505
District Hospital Blood Bank Udupi,"District Hospital, 576101",Udupi,Karnataka,0820 2520555,13.334045,74.742105
Bapuji Educational Association S. S. Institute of Medical Sciences and Research Hospital Blood Bank,"Jnanashankara, NH-4 Bypass Road, Post Box-1, 577003",Davangere,Karnataka,08192 266016,14.430349,75.942694
INDIAN RED CROSS SOCIETY,"Devraj Urs Layout, 577006",Davangere,Karnataka,08192 252550,14.475314,75.909787
Sharada Dhanvantari Charitable Hospital Blood Bank,"S. D. C. Hospital, P.B. No. 13, Vidyaranyapura Village,, 577139",Sringeri,Karnataka,0826 220175,13.428948,75.254286
Nitte University Blood Bank,"Justice K. S. Hegde Charitable Hospital, Deralakatte, 575018",Mangalore,Karnataka,0824 220447,12.807444,74.888332
District Hospital Blood Bank,"General Thimayya Road, 571201",Madikeri,Karnataka,08272 223445,12.418764,75.742555
Manjunath Orthopaedic and Trauma Centre Hospital Blood Bank,"K. R. Puram, 573201",Hassan,Karnataka,08172 266124,13.0080708,76.1016262
The Payyannur Co-operative Hospital Society Limited,"No.C.1487, South Bazar, 670307",Payyannur,Kerala,"04985 207372, 04985 207373, 04985 204051",12.106236,75.209538
Davangere Blood Bank,"358, Mahaveera Complex, II Floor, 8th Main, 8th Cross, P.J. Extension, 577002",Davangere,Karnataka,08192 236655,14.459198,75.915238
VISL Hospital Blood Bank,"SH 65, Hutta Colony, 577301",Bhadravati,Karnataka,08182 271620,13.83034,75.690275
Bapuji Hospital Blood Bank,"C.G. Hospital Road, 577001",Davangere,Karnataka,08192 253850,14.4588202,75.9167473
McGann Hospital Blood Bank,"Sagar Road, 577201",Shimoga,Karnataka,08182 222412,13.935689,75.562968
Government General Hospital Blood Bank,"Calicut Beach S.O, 673032",Kozhikode,Kerala,"0495 2365367, 0495 2365917",11.256595,75.770942
M/s. Sahyadri Narayana Multispeciality Hospital Blood Bank,"New Thirthahalli Road, Harakere, 577202",Shimoga,Karnataka,08182 221577,13.908068,75.560375
Royal Hospital Blood Bank,"Guruvayoor road, 680503",Kunnamkulam,Kerala,04885 222133,10.645883,76.067384
Korambayil Hospital Blood Bank,676122,Manjeri,Kerala,"0483 2766573, 0483 2766822",11.123065,76.125653
Life Line Blood Centre,"13-A, Walia Hospital, Corner View Colony, Dukhniwaran Road, Factory Area, 147003",Patiala,Punjab,0175 2351532,30.343682,76.399514
Solan Regional Hospital Blood Bank,"Regional Hospital, Near Lakkar Bazar, Tank Road, 173212",Solan,Himachal Pradesh,01792 220159,30.90738,77.107075
Mahatma Gandhi Medical Services Blood Bank Rampur,"Mahatma Gandhi Medical Services Blood Bank Rampur,
Near Jakh Institute of Nursing, 172001",Shimla,Himachal Pradesh,01782 233969,31.4470213,77.6294213
Command Hospital Blood Bank,"Chandimandir Cantonment, Panchkula, 134109",Panchkula,Haryana,080908 00659,30.712615,76.854089
District Hospital Panchkula Blood Bank,"Civil Hospital Blood Bank, Sector 6, 134109",Panchkula,Haryana,0172 256 7228,30.710793,76.845878
Military Hospital Blood Bank,"Patiala, 147001",Patiala,Punjab,9872461083,30.326207,76.382177
Government Medical College and Hospital Blood Bank,"Department of Transfusion Medicine ,Government Medical College and Hospital, Sector-32, Chandigarh, 160032",Chandigarh,Chandigarh,"0172 2665253, 0172 2601023 (Extn. 1166)",30.709289,76.780536
Military Hospital Blood Bank Ambala,"Blood Bank, Military Hosptial, Ambala Cantt., 133001",Ambala,Haryana,0171 2626557,30.353047,76.833532
Bilaspur Regional Hospital Blood bank,"Changer Sector Bilaspur, Near D.C.Office Bilaspur, 174001",Bilaspur,Himachal Pradesh,1978221080,31.335735,76.765248
SNM Hospital Blood Bank,"SNM Hospital, Main Bazar, Leh, 194101",Leh,Jammu and Kashmir,01982 252014,34.153795,77.580209
Shree MAA Blood Bank,"1st Floor, Goel Hospital, Jagadhri, Yamunanagar.
Opp Sapphire hotel, railway road, Near Krishna Bajaj auto agency, 135003",Jagadhri,Haryana,01732 646206,30.147696,77.304339
Reckong Peo Regional Hospital Blood Bank,"Reckong Peo, Kinnaur, Himachal Pradesh, 172107",Reckong Peo,Himachal Pradesh,01786 222922,31.539316,78.267034
Fatehgarh Sahib Civil Hospital Blood Bank,"Old Tehsil, Government Quarters, BBSBE College Campus
Near DC Complex, 140407",Fatehgarh Sahib,Punjab,01763 232203,30.646899,76.390134
Ramakrishna Mission Sevashrana Blood Bank,"Opposite to Harihar Ashram, Ramakrishna Mission, 249408",Haridwar,Uttarakhand,1334244985,29.933208,78.148128
Max Super Specialty Hospital Blood Bank,"Near Civil Hospital, Phase-VI, Sector 56A, 160055",Mohali,Punjab,"0172 6652396, 0172 665 2000, 0172 6652397, 2398, 2399",30.73975,76.714419
Malhotra Super Speciality Hospital Blood Bank,"(A Unit of Malhotra Clinics Private Limited), SCO No. 8, Himuda Bhatoli Kalan, Opp.- Mahavir Spinning Mills, Baddi, 173205",Baddi,Himachal Pradesh,01795 275009,30.9491629,76.8319738
Rupnagar Civil Hospital Blood Bank,"Ali Mohalla, Mil Mil Nagar, Gugga Mari Mohalla, Near Bela Chowk, 140001",Rupnagar,Punjab,01881 222080,30.966052,76.52516
Grecian Super Speciality Hospital Blood Bank,"Sector 69 , Sahibzada Ajit Singh Nagar, 160062",Mohali,Punjab,"0172 469 6600, 0172 5098045, 0172 2234340, 0172 2234341",30.691127,76.723553
Government Multispeciality Hospital Blood Bank,"Blood Bank, Government Multispeciality Hospital, Room No. 164 Sector 16 Chandigarh., 160016",Chandigarh,Chandigarh,0172 2701288,30.751021,76.780967
Haryana Institute of Medical Sciences (HIMS) Hospital Blood Bank,"NH-152, Village-Ujhana, Ambala Road, Kaithal",Kaithal,Haryana,,29.844728,76.441361
"SBD, District Hospital","Bajoria Road, 247001",Saharanpur,Uttar Pradesh,0132 2715408,29.955375,77.559465
Uttarkashi District Hospital Blood Bank,"District Hospital, Near Vishwanath Temple, 249193",Uttar Kashi,Uttarakhand,0137 422 2082,30.729788,78.442688
LNJP District Government Hospital Blood Bank,"Thanesar, Kurukshetra, SH-6, Kaithal Kurukshetra Road,, 136118",Kurukshetra,Haryana,"0174 429 2716, 01744 293580, 01744 290344",29.964985,76.820558
Bhota Charitable Hospital Blood Bank,"Hamirpur, 176041",Bhota,Himachal Pradesh,01972 255096,31.609374,76.569182
Government Medical College and Rajindra Hospital Blood Bank,"Sangrur Road, 147001",Patiala,Punjab,"0175 2203912,  0175 221 2542",30.327696,76.386153
Sainik (Military Hospital) Hospital Blood Bank,"Army Canteen, Dehradun, 248001",Dehradun,Uttarakhand,0135 2702413,30.316493,78.032191
Kullu Regional Hospital Blood Bank,"R.No. 320, Kullu Regional Hospital, 175101",Dhapur,Himachal Pradesh,01902 224778,31.956462,77.111661
Mohali Civil Hospital Blood Bank,"Phase 6, 56A, Sector 56, Sahibzada Ajit Singh Nagar, 160055",SAS Nagar,Punjab,"01722223637, 0172 2225264",30.739307,76.713957
Ananadpur Sahib Civil Hospital Blood Bank,"Ward No:1, Nania Devi Road, Keshgarh Sahib, 140118",Anandpur Sahib,Punjab,"0188 7232102, 01881-232612, 232102",31.238973,76.494595
BBMB Hospital Blood Bank,"BBMB Hosital Nangal Town Ship, 140124",Nangal,Punjab,1887223902,31.382789,76.364112
Philadelphia Mission Hospital Blood Bank,"Post box 40, Near RA Chowk, Ambala, 134002",Ambala City,Haryana,0171 2553295,30.383042,76.785947
"Department of  Transfusion Medicine, PGIMER Blood Bank","Blood Bank, Department of Transfusion Medicine, Nehru Hospital, PGIMER, Sec-12, Chandigarh., 160012",Chandigarh,Chandigarh,0172 2756481,30.765913,76.775488
Sanjeevani Blood Bank,"111, Near Railway Road, Sadar Bazar, Ambala Cantt., 133001",Ambala,Haryana,0171 4002002,30.339065,76.836686
Ivy Health and Life Sciences Private Limited,"IVY Hospital, Sector-71, 160071",Mohali,Punjab,"0172 7170121, 01725242120, 0172 5044333",30.706958,76.708016
Tarawati Nursing Home Private Limited Blood Bank,"Bajoria Road, 247001",Saharanpur,Uttar Pradesh,0132 2716003,29.95683,77.557192
Netaji Subhash Chander Bose Zonal Hospital Blood Bank,"Netaji Subhash Chander Bose Zonal Hospital, Mandi, 175001",Mandi,Himachal Pradesh,01905 222213,31.711561,76.927209
Kharar Civil Hospital Blood Bank,"Civil Hospital Road, Guru Teg Bahadur Nagar, Near Bus Stand, 140301",Kharar,Punjab,0160 2280797,30.752837,76.632796
"Fortis Hospital Mohali, Blood Bank","Sector 62, Phase - VIII, Sahibzada Ajit Singh Nagar,, 160062",Mohali,Punjab,"0172 469222, 01724692270",30.694086,76.730141
"Doon Hospital, District Hospital Blood Bank","Court Road, Nagar Nigam, Dehradun, 248001",Dehradun,Uttarakhand,N/A,30.318779,78.042188
Rotary and Blood Bank Society Resource Centre,"Plot No:4, Dakshin Marg, Sector 37A, Chandigarh, 160036",Chandigarh,Chandigarh,0172 2696057,30.74211,76.755138
Rohru Civil Hospital Blood Bank,"Rohru, Shimla, 171207",Rohru,Himachal Pradesh,01781 240011,31.201285,77.752272
Silver Oaks Hospital Blood Bank,"Phase 9, Sector 63, SAS Nagar, Sahibzada Ajit Singh Nagar, 
Punjab India, SAS Nagar, 160063",Mohali,Punjab,"0172 5097113, 0172 5063618",30.692232,76.733098
Kamla Nehru Hospital Blood Bank,"Kamla Nehru Hospital, NH-22, Near Mall Road, 171001",Shimla,Himachal Pradesh,0177 2624081,31.096648,77.175267
Maharishi Markendeshwar Medical College and Hospital Blood Bank,"LADO, Sultanpur Road, Kumarhatti, Solan, 173229",Lado,Himachal Pradesh,01792 395175,30.8713445,77.0863049
General Hospital Blood Bank Ambala City,"Civil Hospital, Ground Floor, Near Polytechnic Chowk, 134002",Ambala City,Haryana,"01712554455, 0171 2552908,",30.378711,76.779636
HMG District Hospital Blood Bank Haridwar,"Bilkeshwar Road, Near Mela Hospital, Laltaro Pul, Haridwar, 249401",Haridwar,Uttarakhand,N/A,29.951147,78.161657
Gian Sagar Medical College and Hospital Blood Bank,"Ramnagar (Banur),  District Patiala, Punjab, 140601",Patiala,Punjab,"01762 510132 Ext:1128/1060, 01762 520 000, 01762507299",30.528959,76.671462
Indira Gandhi Medical College Blood Bank Shimla,"Department of BT and IH, Indira Gandhi Medical College, 
Near Lakkar Bazar, 171001",Shimla,Himachal Pradesh,0177 2883440,31.1071605,77.1831203
MM Institute of Medical Sciences and Research Blood Bank,"Mulana, 133207",Ambala,Haryana,01731 304581,30.252282,77.049488
Civil Hospital Blood Bank Palampur,"Civil Hospital, Palampur, Kangra, 176061",Palampur,Himachal Pradesh,01894 234101,32.107726,76.534876
IMA Blood Bank of Uttarakhand,"47, Ballupur Road, Dehradun, 248001",Dehradun,Uttarakhand,"0135 2755010, 0135 2755011",30.334225,78.017667
Hamirpur Regional Hospital Blood bank,"Agriculture Colony, Hamirpur,, 177001",Hamirpur,Himachal Pradesh,01972 222223,31.679905,76.527416
Deen Dayal Updhayay Hospital Blood Bank,"DDU Complex, Shimla, 171001",Shimla,Himachal Pradesh,0177 2658940,31.103536,77.17218
Nahan Regional Hospital Blood Bank,"Regional Hospital, Nahan, 173001",Nahan,Himachal Pradesh,01702 223344,30.559933,77.295483
Dharamshala Zonal Hospital Blood Bank,"Zonal Hospital, Dharamshala, 176215",Dharamshala,Himachal Pradesh,01892 227595,32.2129086,76.3194044
Rajpura Civil Hospital Blood Bank,"AP Jain Hospital, Rajpura, 140401",Rajpura Town,Punjab,"01762 225539, 0175 221 2055",30.478441,76.584065
Sri Guru Harkrishan Sahib Charitable Eye Hospital Trust Blood Bank,"Sector 77, Ajitgarh, Sohana, Sahibzada Ajit Singh Nagar,, 140308",Mohali,Punjab,"0172 2295000, Extn: 401 and 405",30.69336,76.698763
Kurukshetra Blood Bank,"SCO.07-08 BASMENT,  Near LIC Building, 136118",Kurukshetra,Haryana,"01744 291914, 01744232010",29.970016,76.838528
Sainik Hospital Blood Bank,"Army Canteen, Roorkee, 247667",Roorkee,Uttarakhand,01332 279976,29.854008,77.886842
MLGH Trauma Centre Yamuna Nagar Blood Bank,"Civil Hospital Blood Bank, Jagadhari, Above Trauma Center, 
Yamunanagar, 135001",Yamunanagar,Haryana,0173 220 0106,30.1442,77.303543
Daman Raktadan Kendra,"Government Hospital Marwad Campus,  Nani Daman., 346210",Daman,Daman and Diu,0260 2255110,20.433246,72.831276
Central Hospital Blood Bank,"Ulhasnagar, Central Hospital, Nehru Chowk Road, Ulhasnagar, 421003",Thane,Maharashtra,"0251 2709432, 0251 2708730",19.229578,73.165135
SMBT Institute of Medical Science and Research Centre - Blood Bank and Component,"SMBT Institute of Medical Science & Research Centre, Blood Bank & Component,  Block-101, Ground Floor, ‘A’ Wing, New SMBT Hospital Building, Survey No. 470, Nandihills Appt., At Post-Dhamangaon, Ghoti, Igatpuri, Nashik, 422002",Nashik,Maharashtra,02553 222300,19.76062,73.769851
Pravara Medical Trust Blood Bank - Pravara Rural Hospital and Medical Dental College Loni (BK),"Pravara Rural Hospital & Medical Dental College Loni (BK) TQ. Rahata, Ahmednagar, 413736",Ahmednagar,Maharashtra,"02422 271201, 02422 271528, 02422 2733413",19.578952,74.456127
Ansar Blood Bank,"1398/1, Islampura, Industrial Society Compound, Quidwai Road, Malegaon, Nasik, 423203",Nashik,Maharashtra,"02554 238383, 02554 230169, 02254 230039",20.552043,74.532641
Satyashanti Blood Bank,"2nd Floor, Satyashanti Hospital, Opposite to Bus Stand, Pusad, 445204",Yavatmal,Maharashtra,"07233 248095, 07233 246095",19.910776,77.569957
Civil Surgeon District General Hospital Blood Bank,"General Hospital Blood Bank Buldhana, Near Prabadhan School, Bhonde Sarakar Chauk Bhuldhana(M.S), 443001",Buldhana,Maharashtra,07262 242423 (Extn.234),20.533583,76.187482
Valsad Raktdan Kendra,"Shirin and Jamshed Gulzar Regional Blood Centre,
Valsad Raktdan Kendra (A Voluntary Blood Bank and Research Centre), RNC Free Eye Hospital Compound,
Opp. Mamlatdar Office, Valsad, 396001",VALSAD,Gujarat,"02632 242944, 02632 253650",20.609737,72.929097
Rotary Blood Bank - Rahuri Charitable Trust,"Acharya Anand Rushiji Bhavan, Near Water Tank, Nagar Manmad Road,  A/P Rahuri, Ahmednagar District, 413705",Ahmednagar,Maharashtra,02426 232975,19.419633,74.65553
Malegaon Blood Bank,"2nd Floor, West End Complex, Satana Naka, Malegaon, 423203",Malegaon,Maharashtra,9371550550,20.55474,74.524396
Samta Blood Bank,"F-1, 1st Floor Suyojit Comercial Complex, Mumbai Agra Highway, Below Data Mastics, Mumbai Naka, Nashik, 422001",Nashik,Maharashtra,"0253 2472499, 0253 2472599, 0253 2472699, 09975997867, 09975997863, 09975997864",19.984791,73.782607
Civil Surgeon General Hospital Blood Bank,"Balod Bank Survey No-488, Infront of Collector Office, Civil Hospital, Jalna, 431203",Jalna,Maharashtra,"02482 224381, 02482 224393",19.84031,75.888795
Shri Sainath Blood Bank,"Opposite to Bus Stand,  Shri Saibaba Sansthan, Shirdi Tal - Rahata, 423109",Ahmednagar,Maharashtra,02423 258525,19.763137,74.47058
Sau Kantadevi Dale Blood Bank,"Maa Ganga Memorial Baheti Hospital, Akola Naka, Washim, 444505",Washim,Maharashtra,"07252 234343, 07252 235606",20.105396,77.143122
Kanthak Sevabhavi Sanstha - New Life Blood  Bank,"Plot No 22, Survey No 389 and 394, Beside Gurudwara, Station Road, Parbhani, 431401",Parbhani,Maharashtra,02452 220222,19.273124,76.782625
Civil Surgeon - District General Hospital Blood Bank,"Akola Road Risala Bazar, Hingoli, 431513",Hingoli,Maharashtra,02456 224118,19.721787,77.154487
Jeevandhara Buldana Urban Blood Bank,"1st Floor, DSD City Mall, Above Bank of India, Tehsil to Stadium Road, Buldhana, 443001",Buldana,Maharashtra,9657221122,20.532707,76.180604
Kalyan Dombivali Municipal Corporation Sponsored Nandakishore Education Society Arpan Blood Bank,"2nd Floor, Bai Rukhminibal Hospital, Kalyan (W), 421301",Thane,Maharashtra,0251 3266322,19.244366,73.122511
Navjivan Blood Bank and Lab,"Shop No.1, Abhilasha II, Punjabi Lane Borivali (W), 400092",Mumbai,Maharashtra,"022 28934122, 022 28935133, 022 28918144, 022 28921727, 022 25339495",19.23024,72.852643
Mahatma Gandhi Mishan (MGM) Hospital Blood Bank,"Mahatma Gandhi Mishan Medical College & Hospital Blood Bank, N-6, Town Center,  CIDCO,  Aurangabad, 431003",Aurangabad,Maharashtra,"0240 6601100, 0240 6601167",19.877896,75.354519
Smt. Puriben Popat Lakha Blood Bank,"Blood Bank, Smt. Puriben  Popat  Lakha Lions Blood Bank sanchalak Lions Club of Vapi Udyognagar Charitable Trust,
Plot No : 366/A, Prashant Park, Near Jain Tample, G.I.D.C, 
Vapi, Valsad, 396195",Vapi,Gujarat,"0260 2434600, 0260 2434601",20.373994,72.904781
Mira Bhayandar Municipal Corporation Rajeev Gandhi Blood Bank,"C.S No.30/32 Poonam Sagar Complex, Near Allahabad Bank Mira Road (E), Thane, 401107",Thane,Maharashtra,022 64510666,19.274233,72.861175
NDMVPS Medical College and Hospital Blood Bank,At Post Adgaon Dist Nashik,Nashik,Maharashtra,"0253 2220522, 0253 2303930",20.037363,73.852998
Seva Blood Bank,"Nilkanth Building, Satana Naka, Satana Road, Malegaon, Nashik, 423203",MALEGAON,Maharashtra,02554 257077,20.552689,74.516643
District Joint Hospital,"SH 5A, Bhandar Khurd, 231216",Sonbhadra,Uttar Pradesh,N/A,24.646173,83.058614
Lokmanya Blood Bank,"Gopinath Chember,  Basement Floor, Behind Jaydev Travels, Adalat Road,  Aurangabad, 431005",Aurangabad,Maharashtra,"0240 6602163, 0240 2328362",19.872123,75.323251
General Hospital and GMERS Medical College Blood Bank,"Blood Bank, GMERS Medical College and General Hospital, 
Halar Road, Valsad, 396001",Valsad,Gujarat,"02632 251744, 02632 251911",20.59404,72.922063
